season,week,celebrity_name,avg_judge_score,simulated_vote_share,rank_combination_rank,percentage_combination_rank
3,4,Joey Lawrence,9.000000,0.143511,4,3
3,4,Monique Coleman,8.000000,0.145809,5,5
3,4,Vivica A. Fox,8.000000,0.002572,6,8
3,4,Sara Evans,6.666667,0.138168,7,6
3,4,Jerry Springer,7.333333,0.118036,8,7
3,5,Emmitt Smith,9.000000,0.169268,1,2
3,5,Mario Lopez,9.000000,0.170755,2,1
3,5,Monique Coleman,9.000000,0.168889,3,3
3,5,Willa Ford,9.000000,0.116901,4,6
3,5,Joey Lawrence,8.333333,0.167181,5,4
3,5,Jerry Springer,8.000000,0.148980,6,5
3,5,Sara Evans,8.000000,0.058027,7,7
3,6,Mario Lopez,9.333333,0.243078,1,1
3,6,Emmitt Smith,8.333333,0.215134,2,2
3,6,Joey Lawrence,8.000000,0.211845,3,3
3,6,Monique Coleman,7.666667,0.203101,4,4
3,6,Jerry Springer,6.000000,0.126841,5,5
3,7,Joey Lawrence,9.500000,0.232698,1,1
3,7,Emmitt Smith,9.500000,0.229084,2,2
3,7,Mario Lopez,9.333333,0.229934,3,3
3,7,Monique Coleman,9.000000,0.221800,4,4
3,7,Jerry Springer,7.666667,0.086485,5,5
3,8,Mario Lopez,9.500000,0.298660,1,1
3,8,Joey Lawrence,9.000000,0.285620,2,2
3,8,Emmitt Smith,9.000000,0.281586,3,3
3,8,Monique Coleman,8.833333,0.134134,4,4
3,9,Emmitt Smith,9.833333,0.430982,1,1
3,9,Mario Lopez,9.833333,0.420402,2,2
3,9,Joey Lawrence,9.833333,0.148615,3,3
3,10,Mario Lopez,9.888867,0.503967,1,1
3,10,Emmitt Smith,9.888867,0.496033,2,2
4,1,Joey Fatone,8.000000,0.120628,1,1
4,1,Laila Ali,7.666667,0.114694,2,2
4,1,Ian Ziering,7.000000,0.107270,3,3
4,1,Apolo Anton Ohno,7.000000,0.104985,4,4
4,1,Shandi Finnessey,6.333333,0.094387,5,5
4,1,Paulina Porizkova,6.333333,0.075834,6,7
4,1,John Ratzenberger,5.666667,0.087361,7,6
4,1,Clyde Drexler,5.333333,0.080827,8,9
4,1,Heather Mills,6.000000,0.072339,9,8
4,1,Leeza Gibbons,5.000000,0.074553,10,10
4,1,Billy Ray Cyrus,4.333333,0.067123,11,11
4,2,Laila Ali,9.000000,0.116229,1,1
4,2,Apolo Anton Ohno,8.666667,0.111686,2,2
4,2,Joey Fatone,8.000000,0.105849,3,3
4,2,Ian Ziering,7.333333,0.097407,4,5
4,2,Shandi Finnessey,6.666667,0.109845,5,4
4,2,Heather Mills,8.000000,0.082365,6,6
4,2,Billy Ray Cyrus,7.000000,0.092575,7,7
4,2,Leeza Gibbons,7.000000,0.089784,8,9
4,2,Clyde Drexler,6.000000,0.099829,9,10
4,2,John Ratzenberger,7.000000,0.092332,10,8
4,2,Paulina Porizkova,7.000000,0.002100,11,11
4,3,Joey Fatone,8.000000,0.116411,1,2
4,3,Leeza Gibbons,8.000000,0.113916,2,3
4,3,Ian Ziering,8.000000,0.117440,3,1
4,3,Apolo Anton Ohno,7.666667,0.111792,4,5
4,3,John Ratzenberger,6.666667,0.126110,5,4
4,3,Heather Mills,8.000000,0.092049,6,8
4,3,Billy Ray Cyrus,7.000000,0.109150,7,7
4,3,Laila Ali,7.000000,0.111565,8,6
4,3,Shandi Finnessey,7.000000,0.002579,9,10
4,3,Clyde Drexler,5.333333,0.098989,10,9
4,4,Joey Fatone,9.333333,0.158215,1,1
4,4,Apolo Anton Ohno,8.666667,0.146393,2,2
4,4,Ian Ziering,8.000000,0.138399,3,3
4,4,Laila Ali,7.000000,0.120670,4,4
4,4,Billy Ray Cyrus,7.000000,0.120404,5,5
4,4,Heather Mills,7.666667,0.103535,6,6
4,4,Clyde Drexler,5.000000,0.110244,7,7
4,4,John Ratzenberger,5.333333,0.098167,8,8
4,4,Leeza Gibbons,5.333333,0.003974,9,9
4,5,Apolo Anton Ohno,10.000000,0.162368,1,1
4,5,Laila Ali,9.333333,0.166512,2,2
4,5,Joey Fatone,8.333333,0.154561,3,3
4,5,Ian Ziering,8.000000,0.149970,4,4
4,5,John Ratzenberger,6.000000,0.113319,5,6
4,5,Heather Mills,7.000000,0.102964,6,5
4,5,Billy Ray Cyrus,5.666667,0.106401,7,7
4,5,Clyde Drexler,4.333333,0.043906,8,8
4,6,Laila Ali,9.333333,0.174133,1,1
4,6,Apolo Anton Ohno,9.333333,0.173634,2,2
4,6,Joey Fatone,9.000000,0.169000,3,3
4,6,Billy Ray Cyrus,7.000000,0.171734,4,4
4,6,Ian Ziering,8.000000,0.152081,5,5
4,6,John Ratzenberger,6.333333,0.156920,6,6
4,6,Heather Mills,7.666667,0.002498,7,7
4,7,Joey Fatone,9.833333,0.211141,1,1
4,7,Laila Ali,9.833333,0.210442,2,2
4,7,Ian Ziering,9.000000,0.198767,3,3
4,7,Apolo Anton Ohno,9.000000,0.193225,4,4
4,7,John Ratzenberger,7.500000,0.003830,5,6
4,7,Billy Ray Cyrus,6.333333,0.182594,6,5
4,8,Apolo Anton Ohno,9.666667,0.242982,1,1
4,8,Joey Fatone,9.166667,0.234235,2,2
4,8,Laila Ali,8.833333,0.223314,3,3
4,8,Ian Ziering,7.833333,0.202683,4,4
4,8,Billy Ray Cyrus,6.333333,0.096786,5,5
4,9,Joey Fatone,10.000000,0.293119,1,1
4,9,Laila Ali,10.000000,0.287758,2,2
4,9,Apolo Anton Ohno,9.833333,0.285461,3,3
4,9,Ian Ziering,9.666667,0.133662,4,4
4,10,Apolo Anton Ohno,9.777733,0.338535,1,1
4,10,Joey Fatone,9.555500,0.332336,2,2
4,10,Laila Ali,9.444400,0.329129,3,3
5,1,Sabrina Bryan,8.666667,0.115347,1,1
5,1,Jennie Garth,7.000000,0.094037,2,5
5,1,Helio Castroneves,8.333333,0.085954,3,2
5,1,Jane Seymour,8.000000,0.086366,4,3
5,1,Mark Cuban,7.000000,0.089995,5,8
5,1,Mel B,8.000000,0.085022,6,4
5,1,Marie Osmond,7.000000,0.092556,7,6
5,1,Albert Reed,7.000000,0.091326,8,7
5,1,Cameron Mathison,7.000000,0.075666,9,10
5,1,Wayne Newton,6.333333,0.084540,10,9
5,1,Floyd Mayweather Jr. ,6.000000,0.079725,11,11
5,1,Josie Maran,5.333333,0.019466,12,12
5,2,Sabrina Bryan,8.666667,0.118034,1,1
5,2,Marie Osmond,8.000000,0.108389,2,2
5,2,Floyd Mayweather Jr. ,7.000000,0.103502,3,4
5,2,Helio Castroneves,9.000000,0.095178,4,3
5,2,Cameron Mathison,7.000000,0.098862,5,6
5,2,Jane Seymour,7.000000,0.098839,6,7
5,2,Mel B,7.666667,0.084576,7,8
5,2,Jennie Garth,7.000000,0.100897,8,5
5,2,Mark Cuban,6.000000,0.101872,9,9
5,2,Albert Reed,7.000000,0.002408,10,11
5,2,Wayne Newton,5.000000,0.087443,11,10
5,3,Sabrina Bryan,9.000000,0.131057,1,1
5,3,Jane Seymour,9.000000,0.105788,2,4
5,3,Jennie Garth,8.666667,0.126766,3,2
5,3,Mel B,9.000000,0.104799,4,5
5,3,Marie Osmond,8.666667,0.125197,5,3
5,3,Helio Castroneves,8.000000,0.090604,6,6
5,3,Floyd Mayweather Jr. ,7.000000,0.100743,7,7
5,3,Cameron Mathison,7.666667,0.089918,8,8
5,3,Mark Cuban,6.666667,0.094370,9,9
5,3,Wayne Newton,6.000000,0.030758,10,10
5,4,Sabrina Bryan,10.000000,0.152630,1,1
5,4,Jennie Garth,9.000000,0.138730,2,2
5,4,Cameron Mathison,9.000000,0.111535,3,5
5,4,Marie Osmond,8.666667,0.131583,4,3
5,4,Helio Castroneves,9.000000,0.106958,5,6
5,4,Mark Cuban,7.333333,0.141018,6,4
5,4,Mel B,8.666667,0.107543,7,7
5,4,Jane Seymour,8.666667,0.107479,8,8
5,4,Floyd Mayweather Jr. ,7.666667,0.002525,9,9
5,5,Sabrina Bryan,9.333333,0.172361,1,1
5,5,Mel B,9.666667,0.144181,2,2
5,5,Jennie Garth,8.333333,0.155335,3,3
5,5,Jane Seymour,8.666667,0.130517,4,4
5,5,Cameron Mathison,8.666667,0.129864,5,5
5,5,Marie Osmond,7.000000,0.137083,6,6
5,5,Helio Castroneves,7.666667,0.112422,7,7
5,5,Mark Cuban,7.000000,0.018236,8,8
5,6,Mel B,10.000000,0.156958,1,3
5,6,Jennie Garth,9.000000,0.176826,2,1
5,6,Marie Osmond,7.666667,0.196207,3,2
5,6,Helio Castroneves,9.333333,0.142953,4,5
5,6,Cameron Mathison,8.333333,0.172326,5,4
5,6,Sabrina Bryan,8.333333,0.003066,6,7
5,6,Jane Seymour,7.333333,0.151664,7,6
5,7,Jennie Garth,8.833333,0.213967,1,1
5,7,Mel B,9.000000,0.174333,2,3
5,7,Marie Osmond,8.666667,0.207686,3,2
5,7,Helio Castroneves,8.666667,0.163571,4,5
5,7,Cameron Mathison,8.500000,0.166793,5,4
5,7,Jane Seymour,8.333333,0.073650,6,6
5,8,Mel B,9.333333,0.196795,1,4
5,8,Jennie Garth,8.333333,0.242979,2,1
5,8,Helio Castroneves,9.500000,0.194662,3,3
5,8,Marie Osmond,8.166667,0.236013,4,2
5,8,Cameron Mathison,8.500000,0.129552,5,5
5,9,Mel B,10.000000,0.279011,1,2
5,9,Helio Castroneves,10.000000,0.270152,2,3
5,9,Marie Osmond,9.333333,0.445895,3,1
5,9,Jennie Garth,9.666667,0.004942,4,4
5,10,Mel B,9.444400,0.333935,1,1
5,10,Marie Osmond,7.666667,0.342007,2,3
5,10,Helio Castroneves,9.333300,0.324058,3,2
6,1,Kristi Yamaguchi,9.000000,0.112775,1,1
6,1,Priscilla Presley,8.000000,0.102329,2,2
6,1,Mario,8.000000,0.101645,3,3
6,1,Marlee Matlin,7.333333,0.094118,4,4
6,1,Jason Taylor,7.333333,0.092422,5,5
6,1,Shannon Elizabeth,7.000000,0.090108,6,6
6,1,Cristian de la Fuente,7.000000,0.072426,7,7
6,1,Steve Guttenberg,6.000000,0.077734,8,8
6,1,Marissa Jaret Winokur,6.000000,0.077638,9,9
6,1,Penn Jillette,5.333333,0.065544,10,10
6,1,Adam Carolla,5.000000,0.061908,11,11
6,1,Monica Seles,5.000000,0.051352,12,12
6,2,Jason Taylor,9.000000,0.110388,1,1
6,2,Kristi Yamaguchi,9.000000,0.110268,2,2
6,2,Mario,8.666667,0.108091,3,3
6,2,Marlee Matlin,8.000000,0.100426,4,4
6,2,Shannon Elizabeth,8.000000,0.100263,5,5
6,2,Priscilla Presley,7.000000,0.088213,6,6
6,2,Marissa Jaret Winokur,7.000000,0.088108,7,7
6,2,Adam Carolla,6.333333,0.076436,8,8
6,2,Cristian de la Fuente,6.666667,0.067428,9,9
6,2,Steve Guttenberg,5.333333,0.073596,10,10
6,2,Penn Jillette,5.666667,0.046838,11,11
6,2,Monica Seles,5.000000,0.029946,12,12
6,3,Kristi Yamaguchi,9.000000,0.123408,1,1
6,3,Priscilla Presley,8.666667,0.119483,2,2
6,3,Shannon Elizabeth,8.000000,0.111293,3,3
6,3,Adam Carolla,7.000000,0.113855,4,4
6,3,Cristian de la Fuente,8.333333,0.093339,5,6
6,3,Jason Taylor,7.666667,0.104722,6,5
6,3,Marissa Jaret Winokur,6.333333,0.112720,7,9
6,3,Mario,7.000000,0.110032,8,7
6,3,Marlee Matlin,7.000000,0.108657,9,8
6,3,Steve Guttenberg,7.000000,0.002492,10,10
6,4,Kristi Yamaguchi,9.666667,0.137288,1,1
6,4,Jason Taylor,9.666667,0.136893,2,2
6,4,Shannon Elizabeth,9.333333,0.134767,3,3
6,4,Marlee Matlin,8.000000,0.116327,4,4
6,4,Marissa Jaret Winokur,8.000000,0.115802,5,5
6,4,Cristian de la Fuente,8.666667,0.101063,6,7
6,4,Mario,8.000000,0.115120,7,6
6,4,Priscilla Presley,7.333333,0.107334,8,8
6,4,Adam Carolla,6.333333,0.035405,9,9
6,5,Kristi Yamaguchi,9.666667,0.163796,1,1
6,5,Mario,9.000000,0.154567,2,2
6,5,Jason Taylor,9.000000,0.152222,3,3
6,5,Marissa Jaret Winokur,8.000000,0.139052,4,4
6,5,Shannon Elizabeth,7.666667,0.133493,5,5
6,5,Cristian de la Fuente,7.666667,0.108836,6,7
6,5,Marlee Matlin,7.333333,0.128658,7,6
6,5,Priscilla Presley,7.000000,0.019377,8,8
6,6,Kristi Yamaguchi,10.000000,0.180215,1,1
6,6,Mario,9.333333,0.169933,2,2
6,6,Marissa Jaret Winokur,8.666667,0.159382,3,3
6,6,Shannon Elizabeth,8.000000,0.148090,4,5
6,6,Cristian de la Fuente,9.000000,0.133545,5,4
6,6,Jason Taylor,8.000000,0.145078,6,6
6,6,Marlee Matlin,7.000000,0.063757,7,7
6,7,Jason Taylor,9.166667,0.200147,1,2
6,7,Kristi Yamaguchi,9.000000,0.198761,2,3
6,7,Mario,8.500000,0.219701,3,1
6,7,Marissa Jaret Winokur,8.666667,0.194701,4,4
6,7,Shannon Elizabeth,8.500000,0.003466,5,6
6,7,Cristian de la Fuente,7.666667,0.183225,6,5
6,8,Jason Taylor,8.666667,0.289094,1,1
6,8,Kristi Yamaguchi,9.166667,0.230052,2,3
6,8,Cristian de la Fuente,9.500000,0.193597,3,4
6,8,Marissa Jaret Winokur,8.333333,0.283486,4,2
6,8,Mario,8.833333,0.003771,5,5
6,9,Kristi Yamaguchi,9.500000,0.345066,1,1
6,9,Cristian de la Fuente,9.333333,0.289775,2,3
6,9,Jason Taylor,9.166667,0.340625,3,2
6,9,Marissa Jaret Winokur,8.666667,0.024534,4,4
6,10,Kristi Yamaguchi,10.000000,0.368255,1,1
6,10,Jason Taylor,9.500000,0.353348,2,2
6,10,Cristian de la Fuente,8.666667,0.278397,3,3
7,1,Brooke Burke,8.166667,0.095136,1,1
7,1,Toni Braxton,7.500000,0.092385,2,2
7,1,Lance Bass,7.166667,0.088843,3,3
7,1,Warren Sapp,7.166667,0.087339,4,4
7,1,Misty May-Treanor,7.000000,0.085594,5,5
7,1,Cody Linley,6.833333,0.085064,6,6
7,1,Maurice Greene,6.500000,0.079522,7,7
7,1,Susan Lucci,6.166667,0.078924,8,8
7,1,Kim Kardashian,6.166667,0.077076,9,9
7,1,Ted McGinley,6.166667,0.060351,10,12
7,1,Rocco DiSpirito,5.833333,0.074459,11,10
7,1,Cloris Leachman,5.333333,0.070831,12,11
7,1,Jeffrey Ross,4.000000,0.024477,13,13
7,2,Warren Sapp,8.000000,0.109957,1,1
7,2,Brooke Burke,8.000000,0.107342,2,2
7,2,Toni Braxton,7.666667,0.106115,3,3
7,2,Susan Lucci,7.000000,0.100653,4,4
7,2,Cody Linley,7.000000,0.099799,5,5
7,2,Lance Bass,6.666667,0.100314,6,6
7,2,Misty May-Treanor,7.000000,0.068507,7,9
7,2,Maurice Greene,6.333333,0.094791,8,7
7,2,Rocco DiSpirito,5.333333,0.091870,9,8
7,2,Cloris Leachman,5.000000,0.089501,10,10
7,2,Kim Kardashian,5.666667,0.031151,11,11
7,3,Brooke Burke,9.333333,0.136011,1,1
7,3,Warren Sapp,8.333333,0.124783,2,2
7,3,Maurice Greene,8.000000,0.120079,3,3
7,3,Lance Bass,7.333333,0.111444,4,4
7,3,Toni Braxton,7.333333,0.111324,5,5
7,3,Cody Linley,7.000000,0.107517,6,6
7,3,Susan Lucci,7.000000,0.107071,7,7
7,3,Rocco DiSpirito,6.666667,0.098790,8,8
7,3,Cloris Leachman,5.333333,0.082981,9,9
7,4,Lance Bass,8.666667,0.135471,1,1
7,4,Brooke Burke,8.666667,0.131480,2,2
7,4,Susan Lucci,8.000000,0.125880,3,3
7,4,Cody Linley,7.666667,0.121289,4,4
7,4,Cloris Leachman,7.333333,0.115883,5,5
7,4,Toni Braxton,7.333333,0.115109,6,6
7,4,Warren Sapp,7.333333,0.114094,7,7
7,4,Maurice Greene,6.666667,0.103833,8,8
7,4,Rocco DiSpirito,6.000000,0.036961,9,9
7,5,Brooke Burke,9.666667,0.150854,1,1
7,5,Cody Linley,9.333333,0.150068,2,2
7,5,Maurice Greene,9.000000,0.142705,3,3
7,5,Warren Sapp,8.333333,0.131199,4,4
7,5,Cloris Leachman,7.000000,0.146316,5,5
7,5,Lance Bass,7.000000,0.144979,6,6
7,5,Susan Lucci,7.333333,0.131046,7,7
7,5,Toni Braxton,7.333333,0.002833,8,8
7,6,Lance Bass,9.000000,0.176628,1,1
7,6,Brooke Burke,8.666667,0.165417,2,2
7,6,Warren Sapp,8.333333,0.162736,3,3
7,6,Cody Linley,7.666667,0.153214,4,4
7,6,Susan Lucci,7.666667,0.152970,5,5
7,6,Maurice Greene,7.000000,0.137620,6,6
7,6,Cloris Leachman,5.000000,0.051414,7,7
7,7,Brooke Burke,10.000000,0.210789,1,1
7,7,Cody Linley,7.333333,0.215826,2,2
7,7,Lance Bass,8.333333,0.184043,3,3
7,7,Maurice Greene,8.333333,0.183690,4,4
7,7,Warren Sapp,7.000000,0.202022,5,5
7,7,Susan Lucci,8.000000,0.003631,6,6
7,8,Brooke Burke,9.166667,0.229989,1,1
7,8,Warren Sapp,9.000000,0.230481,2,2
7,8,Lance Bass,8.333333,0.215521,3,3
7,8,Cody Linley,8.000000,0.220915,4,4
7,8,Maurice Greene,8.000000,0.103093,5,5
7,9,Lance Bass,9.500000,0.311279,1,1
7,9,Warren Sapp,8.166667,0.267560,2,2
7,9,Brooke Burke,8.166667,0.262751,3,3
7,9,Cody Linley,7.666667,0.158410,4,4
7,10,Brooke Burke,10.000000,0.344408,1,1
7,10,Lance Bass,9.166667,0.329617,2,2
7,10,Warren Sapp,9.166667,0.325975,3,3
8,1,Shawn Johnson,7.666667,0.097185,1,1
8,1,Melissa Rycroft,7.666667,0.095275,2,2
8,1,Gilles Marini,8.000000,0.082976,3,3
8,1,Lil' Kim,7.000000,0.090022,4,4
8,1,Chuck Wicks,6.666667,0.086130,5,5
8,1,David Alan Grier,6.333333,0.082205,6,6
8,1,Denise Richards,6.000000,0.077758,7,7
8,1,Holly Madison,6.000000,0.075232,8,8
8,1,Belinda Carlisle,5.666667,0.073149,9,9
8,1,Lawrence Taylor,5.333333,0.068403,10,10
8,1,Steve-O,5.666667,0.057146,11,11
8,1,Ty Murray,4.666667,0.060054,12,12
8,1,Steve Wozniak,4.333333,0.054466,13,13
8,2,Melissa Rycroft,8.666667,0.098672,1,1
8,2,Shawn Johnson,8.000000,0.094198,2,3
8,2,Gilles Marini,9.000000,0.086660,3,2
8,2,Lil' Kim,7.666667,0.090699,4,4
8,2,Denise Richards,7.000000,0.083837,5,5
8,2,David Alan Grier,5.666667,0.086568,6,9
8,2,Chuck Wicks,6.666667,0.079675,7,6
8,2,Holly Madison,6.000000,0.082533,8,10
8,2,Ty Murray,6.666667,0.078961,9,7
8,2,Lawrence Taylor,6.666667,0.078485,10,8
8,2,Steve Wozniak,5.666667,0.082402,11,11
8,2,Belinda Carlisle,6.000000,0.002475,12,13
8,2,Steve-O,4.666667,0.054834,13,12
8,3,Shawn Johnson,9.000000,0.113225,1,1
8,3,Melissa Rycroft,9.000000,0.112156,2,2
8,3,Lil' Kim,8.333333,0.107067,3,3
8,3,Gilles Marini,9.000000,0.093157,4,4
8,3,David Alan Grier,8.000000,0.103598,5,5
8,3,Chuck Wicks,7.666667,0.098595,6,6
8,3,Ty Murray,7.666667,0.097283,7,7
8,3,Lawrence Taylor,6.666667,0.085131,8,8
8,3,Holly Madison,5.666667,0.070798,9,9
8,3,Steve-O,5.000000,0.063535,10,10
8,3,Denise Richards,5.333333,0.003038,11,12
8,3,Steve Wozniak,3.333333,0.052416,12,11
8,4,Melissa Rycroft,9.666667,0.120219,1,1
8,4,Lil' Kim,9.000000,0.116176,2,2
8,4,Gilles Marini,10.000000,0.103385,3,3
8,4,Ty Murray,8.333333,0.111096,4,4
8,4,Shawn Johnson,8.333333,0.111008,5,5
8,4,David Alan Grier,7.333333,0.101450,6,6
8,4,Chuck Wicks,7.333333,0.100668,7,7
8,4,Lawrence Taylor,6.333333,0.086695,8,8
8,4,Steve-O,5.000000,0.057417,9,10
8,4,Holly Madison,5.333333,0.054717,10,9
8,4,Steve Wozniak,4.000000,0.037168,11,11
8,5,Lil' Kim,8.666667,0.134848,1,2
8,5,Shawn Johnson,8.666667,0.132540,2,3
8,5,Gilles Marini,9.666667,0.122394,3,1
8,5,Ty Murray,7.000000,0.138729,4,5
8,5,Melissa Rycroft,8.333333,0.124501,5,4
8,5,Chuck Wicks,7.666667,0.118789,6,6
8,5,Lawrence Taylor,6.666667,0.132164,7,7
8,5,David Alan Grier,7.333333,0.002718,8,9
8,5,Steve-O,6.000000,0.093317,9,8
8,6,Lil' Kim,9.333333,0.164370,1,1
8,6,Melissa Rycroft,9.000000,0.153662,2,2
8,6,Shawn Johnson,8.666667,0.151796,3,3
8,6,Chuck Wicks,7.666667,0.136231,4,5
8,6,Gilles Marini,8.666667,0.124159,5,4
8,6,Lawrence Taylor,7.333333,0.129259,6,6
8,6,Ty Murray,6.000000,0.106470,7,7
8,6,Steve-O,5.333333,0.034053,8,8
8,7,Melissa Rycroft,9.666667,0.170702,1,1
8,7,Shawn Johnson,9.333333,0.167474,2,2
8,7,Chuck Wicks,9.000000,0.163886,3,3
8,7,Gilles Marini,9.000000,0.132673,4,5
8,7,Lil' Kim,8.666667,0.158093,5,4
8,7,Ty Murray,8.000000,0.144600,6,6
8,7,Lawrence Taylor,7.000000,0.062572,7,7
8,8,Lil' Kim,9.333333,0.210885,1,1
8,8,Ty Murray,8.666667,0.195932,2,3
8,8,Melissa Rycroft,7.666667,0.225224,3,2
8,8,Gilles Marini,9.166667,0.170281,4,5
8,8,Shawn Johnson,8.666667,0.194160,5,4
8,8,Chuck Wicks,8.500000,0.003518,6,6
8,9,Melissa Rycroft,9.500000,0.251389,1,1
