celebrity_name,celebrity_age_during_season,celebrity_homecountry/region,celebrity_industry,simulated_vote_share,avg_judge_score
Ian Ziering,42,United States,Actor/Actress,0.133662,9.666667
Clyde Drexler,44,United States,Athlete,0.080827,5.333333
Clyde Drexler,44,United States,Athlete,0.099829,6.0
Clyde Drexler,44,United States,Athlete,0.098989,5.333333
Clyde Drexler,44,United States,Athlete,0.110244,5.0
Clyde Drexler,44,United States,Athlete,0.043906,4.333333
Laila Ali,29,United States,Athlete,0.114694,7.666667
Laila Ali,29,United States,Athlete,0.116229,9.0
Laila Ali,29,United States,Athlete,0.111565,7.0
Laila Ali,29,United States,Athlete,0.12067,7.0
Laila Ali,29,United States,Athlete,0.166512,9.333333
Laila Ali,29,United States,Athlete,0.174133,9.333333
Laila Ali,29,United States,Athlete,0.210442,9.833333
Laila Ali,29,United States,Athlete,0.223314,8.833333
Laila Ali,29,United States,Athlete,0.287758,10.0
Laila Ali,29,United States,Athlete,0.329129,9.4444
Apolo Anton Ohno,24,United States,Athlete,0.104985,7.0
Apolo Anton Ohno,24,United States,Athlete,0.111686,8.666667
Apolo Anton Ohno,24,United States,Athlete,0.111792,7.666667
Apolo Anton Ohno,24,United States,Athlete,0.146393,8.666667
Apolo Anton Ohno,24,United States,Athlete,0.162368,10.0
Apolo Anton Ohno,24,United States,Athlete,0.173634,9.333333
Apolo Anton Ohno,24,United States,Athlete,0.193225,9.0
Apolo Anton Ohno,24,United States,Athlete,0.242982,9.666667
Apolo Anton Ohno,24,United States,Athlete,0.285461,9.833333
Apolo Anton Ohno,24,United States,Athlete,0.338535,9.777733
Apolo Anton Ohno,24,United States,Athlete,0.086595,7.333333
Apolo Anton Ohno,24,United States,Athlete,0.091693,8.166667
Apolo Anton Ohno,24,United States,Athlete,0.097942,8.5
Apolo Anton Ohno,24,United States,Athlete,0.118147,8.625
Apolo Anton Ohno,24,United States,Athlete,0.12939,9.416667
Apolo Anton Ohno,24,United States,Athlete,0.144333,10.0
Apolo Anton Ohno,24,United States,Athlete,0.140105,11.0
Apolo Anton Ohno,24,United States,Athlete,0.158594,9.759233
Apolo Anton Ohno,24,United States,Athlete,0.175188,9.537
Apolo Anton Ohno,30,United States,Athlete,0.104985,7.0
Apolo Anton Ohno,30,United States,Athlete,0.111686,8.666667
Apolo Anton Ohno,30,United States,Athlete,0.111792,7.666667
Apolo Anton Ohno,30,United States,Athlete,0.146393,8.666667
Apolo Anton Ohno,30,United States,Athlete,0.162368,10.0
Apolo Anton Ohno,30,United States,Athlete,0.173634,9.333333
Apolo Anton Ohno,30,United States,Athlete,0.193225,9.0
Apolo Anton Ohno,30,United States,Athlete,0.242982,9.666667
Apolo Anton Ohno,30,United States,Athlete,0.285461,9.833333
Apolo Anton Ohno,30,United States,Athlete,0.338535,9.777733
Apolo Anton Ohno,30,United States,Athlete,0.086595,7.333333
Apolo Anton Ohno,30,United States,Athlete,0.091693,8.166667
Apolo Anton Ohno,30,United States,Athlete,0.097942,8.5
Apolo Anton Ohno,30,United States,Athlete,0.118147,8.625
Apolo Anton Ohno,30,United States,Athlete,0.12939,9.416667
Apolo Anton Ohno,30,United States,Athlete,0.144333,10.0
Apolo Anton Ohno,30,United States,Athlete,0.140105,11.0
Apolo Anton Ohno,30,United States,Athlete,0.158594,9.759233
Apolo Anton Ohno,30,United States,Athlete,0.175188,9.537
Shandi Finnessey,28,United States,Beauty Pagent,0.094387,6.333333
Shandi Finnessey,28,United States,Beauty Pagent,0.109845,6.666667
Shandi Finnessey,28,United States,Beauty Pagent,0.002579,7.0
Paulina Porizkova,41,Czechoslovakia,Model,0.075834,6.333333
Paulina Porizkova,41,Czechoslovakia,Model,0.0021,7.0
Heather Mills,39,England,Model,0.072339,6.0
Heather Mills,39,England,Model,0.082365,8.0
Heather Mills,39,England,Model,0.092049,8.0
Heather Mills,39,England,Model,0.103535,7.666667
Heather Mills,39,England,Model,0.102964,7.0
Heather Mills,39,England,Model,0.002498,7.666667
Billy Ray Cyrus,45,United States,Singer/Rapper,0.067123,4.333333
Billy Ray Cyrus,45,United States,Singer/Rapper,0.092575,7.0
Billy Ray Cyrus,45,United States,Singer/Rapper,0.10915,7.0
Billy Ray Cyrus,45,United States,Singer/Rapper,0.120404,7.0
Billy Ray Cyrus,45,United States,Singer/Rapper,0.106401,5.666667
Billy Ray Cyrus,45,United States,Singer/Rapper,0.171734,7.0
Billy Ray Cyrus,45,United States,Singer/Rapper,0.182594,6.333333
Billy Ray Cyrus,45,United States,Singer/Rapper,0.096786,6.333333
Joey Fatone,30,United States,Singer/Rapper,0.120628,8.0
Joey Fatone,30,United States,Singer/Rapper,0.105849,8.0
Joey Fatone,30,United States,Singer/Rapper,0.116411,8.0
Joey Fatone,30,United States,Singer/Rapper,0.158215,9.333333
Joey Fatone,30,United States,Singer/Rapper,0.154561,8.333333
Joey Fatone,30,United States,Singer/Rapper,0.169,9.0
Joey Fatone,30,United States,Singer/Rapper,0.211141,9.833333
Joey Fatone,30,United States,Singer/Rapper,0.234235,9.166667
Joey Fatone,30,United States,Singer/Rapper,0.293119,10.0
Joey Fatone,30,United States,Singer/Rapper,0.332336,9.5555
Joey Fatone,30,United States,Singer/Rapper,0.081535,6.833333
Joey Fatone,30,United States,Singer/Rapper,0.001889,7.5
Joey Fatone,35,United States,Singer/Rapper,0.120628,8.0
Joey Fatone,35,United States,Singer/Rapper,0.105849,8.0
Joey Fatone,35,United States,Singer/Rapper,0.116411,8.0
Joey Fatone,35,United States,Singer/Rapper,0.158215,9.333333
Joey Fatone,35,United States,Singer/Rapper,0.154561,8.333333
Joey Fatone,35,United States,Singer/Rapper,0.169,9.0
Joey Fatone,35,United States,Singer/Rapper,0.211141,9.833333
Joey Fatone,35,United States,Singer/Rapper,0.234235,9.166667
Joey Fatone,35,United States,Singer/Rapper,0.293119,10.0
Joey Fatone,35,United States,Singer/Rapper,0.332336,9.5555
Joey Fatone,35,United States,Singer/Rapper,0.081535,6.833333
Joey Fatone,35,United States,Singer/Rapper,0.001889,7.5
Leeza Gibbons,50,United States,TV Personality,0.074553,5.0
Leeza Gibbons,50,United States,TV Personality,0.089784,7.0
Leeza Gibbons,50,United States,TV Personality,0.113916,8.0
Leeza Gibbons,50,United States,TV Personality,0.003974,5.333333
Cameron Mathison,38,Canada,Actor/Actress,0.075666,7.0
Cameron Mathison,38,Canada,Actor/Actress,0.098862,7.0
Cameron Mathison,38,Canada,Actor/Actress,0.089918,7.666667
Cameron Mathison,38,Canada,Actor/Actress,0.111535,9.0
Cameron Mathison,38,Canada,Actor/Actress,0.129864,8.666667
Cameron Mathison,38,Canada,Actor/Actress,0.172326,8.333333
Cameron Mathison,38,Canada,Actor/Actress,0.166793,8.5
Cameron Mathison,38,Canada,Actor/Actress,0.129552,8.5
Jane Seymour,56,England,Actor/Actress,0.086366,8.0
Jane Seymour,56,England,Actor/Actress,0.098839,7.0
Jane Seymour,56,England,Actor/Actress,0.105788,9.0
Jane Seymour,56,England,Actor/Actress,0.107479,8.666667
Jane Seymour,56,England,Actor/Actress,0.130517,8.666667
Jane Seymour,56,England,Actor/Actress,0.151664,7.333333
Jane Seymour,56,England,Actor/Actress,0.07365,8.333333
Sabrina Bryan,23,United States,Actor/Actress,0.115347,8.666667
Sabrina Bryan,23,United States,Actor/Actress,0.118034,8.666667
Sabrina Bryan,23,United States,Actor/Actress,0.131057,9.0
Sabrina Bryan,23,United States,Actor/Actress,0.15263,10.0
Sabrina Bryan,23,United States,Actor/Actress,0.172361,9.333333
Sabrina Bryan,23,United States,Actor/Actress,0.003066,8.333333
Sabrina Bryan,23,United States,Actor/Actress,0.08935,7.5
Sabrina Bryan,23,United States,Actor/Actress,0.098678,8.666667
Sabrina Bryan,23,United States,Actor/Actress,0.099013,8.5
Sabrina Bryan,23,United States,Actor/Actress,0.123743,8.875
Sabrina Bryan,23,United States,Actor/Actress,0.136396,9.75
Sabrina Bryan,23,United States,Actor/Actress,0.001601,10.0
Sabrina Bryan,28,United States,Actor/Actress,0.115347,8.666667
Sabrina Bryan,28,United States,Actor/Actress,0.118034,8.666667
Sabrina Bryan,28,United States,Actor/Actress,0.131057,9.0
Sabrina Bryan,28,United States,Actor/Actress,0.15263,10.0
Sabrina Bryan,28,United States,Actor/Actress,0.172361,9.333333
Sabrina Bryan,28,United States,Actor/Actress,0.003066,8.333333
Sabrina Bryan,28,United States,Actor/Actress,0.08935,7.5
Sabrina Bryan,28,United States,Actor/Actress,0.098678,8.666667
Sabrina Bryan,28,United States,Actor/Actress,0.099013,8.5
Sabrina Bryan,28,United States,Actor/Actress,0.123743,8.875
Sabrina Bryan,28,United States,Actor/Actress,0.136396,9.75
Sabrina Bryan,28,United States,Actor/Actress,0.001601,10.0
Jennie Garth,35,United States,Actor/Actress,0.094037,7.0
Jennie Garth,35,United States,Actor/Actress,0.100897,7.0
Jennie Garth,35,United States,Actor/Actress,0.126766,8.666667
Jennie Garth,35,United States,Actor/Actress,0.13873,9.0
Jennie Garth,35,United States,Actor/Actress,0.155335,8.333333
Jennie Garth,35,United States,Actor/Actress,0.176826,9.0
Jennie Garth,35,United States,Actor/Actress,0.213967,8.833333
Jennie Garth,35,United States,Actor/Actress,0.242979,8.333333
Jennie Garth,35,United States,Actor/Actress,0.004942,9.666667
Floyd Mayweather Jr. ,30,United States,Athlete,0.079725,6.0
Floyd Mayweather Jr. ,30,United States,Athlete,0.103502,7.0
Floyd Mayweather Jr. ,30,United States,Athlete,0.100743,7.0
Floyd Mayweather Jr. ,30,United States,Athlete,0.002525,7.666667
Josie Maran,29,United States,Model,0.019466,5.333333
Albert Reed,22,United States,Model,0.091326,7.0
Albert Reed,22,United States,Model,0.002408,7.0
Helio Castroneves,32,Brazil,Racing Driver,0.085954,8.333333
Helio Castroneves,32,Brazil,Racing Driver,0.095178,9.0
Helio Castroneves,32,Brazil,Racing Driver,0.090604,8.0
Helio Castroneves,32,Brazil,Racing Driver,0.106958,9.0
Helio Castroneves,32,Brazil,Racing Driver,0.112422,7.666667
Helio Castroneves,32,Brazil,Racing Driver,0.142953,9.333333
Helio Castroneves,32,Brazil,Racing Driver,0.163571,8.666667
Helio Castroneves,32,Brazil,Racing Driver,0.194662,9.5
Helio Castroneves,32,Brazil,Racing Driver,0.270152,10.0
Helio Castroneves,32,Brazil,Racing Driver,0.324058,9.3333
Helio Castroneves,32,Brazil,Racing Driver,0.066594,7.166667
Helio Castroneves,32,Brazil,Racing Driver,0.067925,7.666667
Helio Castroneves,32,Brazil,Racing Driver,0.053536,8.5
Helio Castroneves,37,Brazil,Racing Driver,0.085954,8.333333
Helio Castroneves,37,Brazil,Racing Driver,0.095178,9.0
Helio Castroneves,37,Brazil,Racing Driver,0.090604,8.0
Helio Castroneves,37,Brazil,Racing Driver,0.106958,9.0
Helio Castroneves,37,Brazil,Racing Driver,0.112422,7.666667
Helio Castroneves,37,Brazil,Racing Driver,0.142953,9.333333
Helio Castroneves,37,Brazil,Racing Driver,0.163571,8.666667
Helio Castroneves,37,Brazil,Racing Driver,0.194662,9.5
Helio Castroneves,37,Brazil,Racing Driver,0.270152,10.0
Helio Castroneves,37,Brazil,Racing Driver,0.324058,9.3333
Helio Castroneves,37,Brazil,Racing Driver,0.066594,7.166667
Helio Castroneves,37,Brazil,Racing Driver,0.067925,7.666667
Helio Castroneves,37,Brazil,Racing Driver,0.053536,8.5
Mel B,32,England,Singer/Rapper,0.085022,8.0
Mel B,32,England,Singer/Rapper,0.084576,7.666667
Mel B,32,England,Singer/Rapper,0.104799,9.0
Mel B,32,England,Singer/Rapper,0.107543,8.666667
Mel B,32,England,Singer/Rapper,0.144181,9.666667
Mel B,32,England,Singer/Rapper,0.156958,10.0
Mel B,32,England,Singer/Rapper,0.174333,9.0
Mel B,32,England,Singer/Rapper,0.196795,9.333333
Mel B,32,England,Singer/Rapper,0.279011,10.0
Mel B,32,England,Singer/Rapper,0.333935,9.4444
Wayne Newton,65,United States,Singer/Rapper,0.08454,6.333333
Wayne Newton,65,United States,Singer/Rapper,0.087443,5.0
Wayne Newton,65,United States,Singer/Rapper,0.030758,6.0
Marie Osmond,47,United States,Singer/Rapper,0.092556,7.0
Marie Osmond,47,United States,Singer/Rapper,0.108389,8.0
Marie Osmond,47,United States,Singer/Rapper,0.125197,8.666667
Marie Osmond,47,United States,Singer/Rapper,0.131583,8.666667
Marie Osmond,47,United States,Singer/Rapper,0.137083,7.0
Marie Osmond,47,United States,Singer/Rapper,0.196207,7.666667
Marie Osmond,47,United States,Singer/Rapper,0.207686,8.666667
Marie Osmond,47,United States,Singer/Rapper,0.236013,8.166667
Marie Osmond,47,United States,Singer/Rapper,0.445895,9.333333
Marie Osmond,47,United States,Singer/Rapper,0.342007,7.666667
Mark Cuban,49,United States,TV Personality,0.089995,7.0
Mark Cuban,49,United States,TV Personality,0.101872,6.0
Mark Cuban,49,United States,TV Personality,0.09437,6.666667
Mark Cuban,49,United States,TV Personality,0.141018,7.333333
Mark Cuban,49,United States,TV Personality,0.018236,7.0
Cristian de la Fuente,34,Chile,Actor/Actress,0.072426,7.0
Cristian de la Fuente,34,Chile,Actor/Actress,0.067428,6.666667
Cristian de la Fuente,34,Chile,Actor/Actress,0.093339,8.333333
Cristian de la Fuente,34,Chile,Actor/Actress,0.101063,8.666667
Cristian de la Fuente,34,Chile,Actor/Actress,0.108836,7.666667
Cristian de la Fuente,34,Chile,Actor/Actress,0.133545,9.0
Cristian de la Fuente,34,Chile,Actor/Actress,0.183225,7.666667
Cristian de la Fuente,34,Chile,Actor/Actress,0.193597,9.5
Cristian de la Fuente,34,Chile,Actor/Actress,0.289775,9.333333
Cristian de la Fuente,34,Chile,Actor/Actress,0.278397,8.666667
Steve Guttenberg,49,United States,Actor/Actress,0.077734,6.0
Steve Guttenberg,49,United States,Actor/Actress,0.073596,5.333333
Steve Guttenberg,49,United States,Actor/Actress,0.002492,7.0
Priscilla Presley,62,United States,Actor/Actress,0.102329,8.0
Priscilla Presley,62,United States,Actor/Actress,0.088213,7.0
Priscilla Presley,62,United States,Actor/Actress,0.119483,8.666667
Priscilla Presley,62,United States,Actor/Actress,0.107334,7.333333
